,total_urls,desciption_median,keyword_usage,name
62,203,4.0,"{'0': 173, '20+': 11, '1-5': 5, '11-20': 6, '6-10': 8}",Occult
76,360,13.0,"{'0': 284, '20+': 34, '1-5': 10, '11-20': 20, '6-10': 12}",Sex Education
41,3062,5.0,"{'0': 2465, '20+': 199, '1-5': 131, '11-20': 167, '6-10': 100}",Sports
45,3249,17.0,"{'0': 2293, '20+': 463, '1-5': 116, '11-20': 243, '6-10': 134}",Travel
32,1589,0.0,"{'0': 1348, '20+': 91, '1-5': 42, '11-20': 48, '6-10': 60}",Politics
119,2147,0.0,"{'0': 2016, '20+': 33, '1-5': 55, '11-20': 24, '6-10': 19}",Parked Domains
2,222,17.0,"{'0': 177, '20+': 14, '1-5': 11, '11-20': 11, '6-10': 9}",Tobacco
24,1726,11.0,"{'0': 1313, '20+': 163, '1-5': 78, '11-20': 97, '6-10': 75}",Job Search
27,3302,6.0,"{'0': 2667, '20+': 241, '1-5': 137, '11-20': 176, '6-10': 81}",News
38,3219,10.0,"{'0': 2566, '20+': 180, '1-5': 209, '11-20': 159, '6-10': 105}",Shopping
28,3088,0.0,"{'0': 2648, '20+': 128, '1-5': 106, '11-20': 101, '6-10': 105}",Non-profits & NGOs
6,2525,18.0,"{'0': 1990, '20+': 255, '1-5': 82, '11-20': 111, '6-10': 87}",Transportation
17,3083,1.0,"{'0': 2480, '20+': 177, '1-5': 149, '11-20': 165, '6-10': 112}",Finance
7,369,10.0,"{'0': 314, '20+': 13, '1-5': 16, '11-20': 17, '6-10': 9}",Chat/Instant Messaging
18,3034,1.0,"{'0': 2442, '20+': 169, '1-5': 104, '11-20': 229, '6-10': 90}",Gambling
20,1848,0.0,"{'0': 1461, '20+': 115, '1-5': 122, '11-20': 77, '6-10': 73}",Government
5,3205,4.0,"{'0': 2576, '20+': 220, '1-5': 117, '11-20': 164, '6-10': 128}",Business
63,2725,8.0,"{'0': 2240, '20+': 146, '1-5': 151, '11-20': 112, '6-10': 76}",Fashion & Beauty
19,3906,17.0,"{'0': 2550, '20+': 427, '1-5': 281, '11-20': 388, '6-10': 260}",Games
26,3458,18.0,"{'0': 2151, '20+': 423, '1-5': 230, '11-20': 438, '6-10': 216}",Streaming Media & Downloads
94,2191,6.0,"{'0': 1696, '20+': 147, '1-5': 114, '11-20': 138, '6-10': 96}",Web Storage
64,92,20.0,"{'0': 77, '20+': 11, '1-5': 0, '11-20': 1, '6-10': 3}",Greeting cards
22,3297,5.0,"{'0': 2735, '20+': 192, '1-5': 117, '11-20': 128, '6-10': 125}",Health & Medicine
4,1559,4.0,"{'0': 1299, '20+': 71, '1-5': 73, '11-20': 52, '6-10': 64}",Arts
30,3274,3.0,"{'0': 2893, '20+': 99, '1-5': 132, '11-20': 71, '6-10': 79}",Personal Sites
34,3159,23.0,"{'0': 957, '20+': 1181, '1-5': 79, '11-20': 551, '6-10': 391}",Real Estate
13,845,15.0,"{'0': 517, '20+': 131, '1-5': 43, '11-20': 104, '6-10': 50}",Dating & Personals
50,3108,4.0,"{'0': 2666, '20+': 153, '1-5': 95, '11-20': 118, '6-10': 76}",Leisure & Recreation
16,2964,9.0,"{'0': 2326, '20+': 258, '1-5': 131, '11-20': 131, '6-10': 118}",Entertainment
14,2084,12.0,"{'0': 1458, '20+': 173, '1-5': 98, '11-20': 207, '6-10': 148}",Download Sites
35,1019,0.0,"{'0': 831, '20+': 55, '1-5': 44, '11-20': 61, '6-10': 28}",Religion
117,445,3.0,"{'0': 375, '20+': 15, '1-5': 14, '11-20': 17, '6-10': 24}",Nature & Conservation
15,3204,3.0,"{'0': 2502, '20+': 264, '1-5': 157, '11-20': 163, '6-10': 118}",Education
33,3051,10.0,"{'0': 2233, '20+': 281, '1-5': 147, '11-20': 231, '6-10': 159}",Pornography/Sexually Explicit
11,3147,7.0,"{'0': 2549, '20+': 193, '1-5': 126, '11-20': 168, '6-10': 111}",Computers & Technology
89,331,20.0,"{'0': 253, '20+': 22, '1-5': 18, '11-20': 20, '6-10': 18}",Lingerie
47,520,18.0,"{'0': 341, '20+': 67, '1-5': 20, '11-20': 56, '6-10': 36}",Weapons
82,1086,16.0,"{'0': 974, '20+': 29, '1-5': 26, '11-20': 28, '6-10': 29}",Marijuana
77,687,6.0,"{'0': 515, '20+': 53, '1-5': 39, '11-20': 42, '6-10': 38}",Tasteless
1,799,5.0,"{'0': 639, '20+': 47, '1-5': 38, '11-20': 44, '6-10': 31}",Alcohol
65,304,6.0,"{'0': 241, '20+': 24, '1-5': 18, '11-20': 12, '6-10': 9}",Hacking
-1,3340,0.0,"{'0': 2853, '20+': 138, '1-5': 149, '11-20': 90, '6-10': 110}",
37,2128,0.0,"{'0': 1788, '20+': 72, '1-5': 92, '11-20': 143, '6-10': 33}",Search Engines & Portals
9,1452,4.0,"{'0': 1125, '20+': 90, '1-5': 113, '11-20': 64, '6-10': 60}",Forums & Newsgroups
3,1025,15.0,"{'0': 681, '20+': 94, '1-5': 50, '11-20': 120, '6-10': 80}",Anonymizers
67,3394,18.0,"{'0': 2100, '20+': 447, '1-5': 227, '11-20': 445, '6-10': 175}",Illegal Software
36,3329,7.0,"{'0': 2840, '20+': 156, '1-5': 112, '11-20': 132, '6-10': 89}",Restaurants & Dining
68,825,10.0,"{'0': 621, '20+': 58, '1-5': 43, '11-20': 50, '6-10': 53}",Image Sharing
